customer_id,age,marital_status,employment_status,city,household_dependents,monthly_income,credit_history_type,outstanding_liabilities,Total_Credits,Total_Debits
58386,46,Married,Self-Employed,Lahore,2,595531,Thick File,21564492.007185705,2326953.5642182343,1600025.628391913
69686,45,Married,Salaried,Islamabad,2,562103,Thin File,30808800.3950556,4822630.396576022,1692651.2825535552
13361,65,Married,Pensioner,Karachi,5,79346,No Credit History,0.0,220212.31,183131.31
3554,54,Single,Self-Employed,Islamabad,1,223805,Thin File,4027631.902364355,406217.03,614382.02
41876,64,Married,Salaried,Lahore,5,173051,No Credit History,0.0,1466983.52,467440.79
55828,49,Single,Salaried,Karachi,2,2829663,Thick File,103089459.00993463,25437027.6596276,9889265.030850524
44709,65,Married,Salaried,Faisalabad,3,117271,No Credit History,0.0,1013214.97,298205.12
67973,43,Married,Salaried,Rawalpindi,2,764131,Thick File,35454550.46770037,6514003.101728,1997581.0043201847
441,38,Single,Self-Employed,Lahore,3,483934,No Credit History,0.0,1429162.54,1690337.73
46238,60,Single,Self-Employed,Islamabad,3,559946,Thin File,6023883.990383689,1631203.03,1461092.76
82658,39,Married,Salaried,Lahore,3,607513,Thick File,34111875.11994357,5417123.096262378,1358751.8822429157
51497,57,Single,Salaried,Karachi,1,643442,Thick File,14795857.181162998,5411053.379620332,1806434.761750135
63331,27,Single,Salaried,Karachi,1,67695,No Credit History,0.0,622537.6898542511,195290.12904702613
82710,30,Single,Salaried,Karachi,4,1742320,Thick File,82873305.83559288,15977771.613785146,4571114.272851254
49469,29,Single,Salaried,Karachi,1,253668,No Credit History,0.0,2306808.47,816242.87
35496,36,Single,Salaried,Karachi,2,418435,Thin File,3304475.237126235,3380298.23,1402126.4500000002
42437,63,Married,Self-Employed,Karachi,4,96047,No Credit History,0.0,315523.31,320364.78
878,48,Single,Salaried,Lahore,3,771210,Thick File,14849339.651848374,8092159.07,2316702.09
6741,24,Married,Salaried,Karachi,5,165377,No Credit History,0.0,1368539.03,529342.74
41136,23,Single,Salaried,Karachi,1,61826,No Credit History,0.0,554514.0800000001,175601.8
63817,23,Single,Salaried,Karachi,1,194945,No Credit History,0.0,1724869.4493598854,476668.8505122974
12807,57,Married,Self-Employed,Rawalpindi,3,561015,Thick File,5863305.188299152,1484406.79,1717316.4300000002
41454,57,Single,Salaried,Faisalabad,1,136295,No Credit History,0.0,1165881.59,448245.56
75712,25,Single,Salaried,Karachi,1,2711481,Thick File,157709965.3861986,23250851.021566715,5222611.64190246
24697,65,Married,Salaried,Faisalabad,3,130037,No Credit History,0.0,1139633.96,419513.66
12356,33,Single,Salaried,Lahore,1,613279,Thin File,28109505.923181325,5816272.62,1212861.46
11361,48,Single,Self-Employed,Lahore,1,588260,Thin File,19110782.57282637,2187542.14,2218197.71
4148,58,Married,Self-Employed,Lahore,4,111516,No Credit History,0.0,302833.85,281370.23
29995,65,Married,Salaried,Faisalabad,1,139086,No Credit History,0.0,1424688.6,387206.82
69691,49,Single,Salaried,Lahore,2,744870,Thick File,41827535.1206391,7123539.491532228,1765218.5799197825
69321,42,Single,Salaried,Lahore,3,2963567,Thin File,159600334.06850573,24807746.792237382,6413347.356129893
47190,49,Single,Salaried,Islamabad,1,1356824,Thick File,44939900.348266855,12375606.36,3720394.290000001
28152,34,Single,Self-Employed,Lahore,1,687863,Thick File,38783912.66614059,2138249.26,2205942.19
13708,56,Married,Self-Employed,Lahore,3,529960,Thin File,4549933.764091263,1515179.7699999998,1240982.88
55445,57,Married,Self-Employed,Karachi,5,676574,Thick File,14218838.969304103,1704878.3109651469,1793818.621737918
16531,62,Married,Salaried,Lahore,5,183942,No Credit History,0.0,1818871.2,626313.94
11932,65,Married,Pensioner,Lahore,3,72030,No Credit History,0.0,172820.34,246701.27
17359,24,Single,Salaried,Faisalabad,3,151925,No Credit History,0.0,1476361.09,459032.74
30026,59,Married,Salaried,Karachi,4,622642,Thin File,35848955.55582534,5412684.62,833911.01
36651,33,Married,Salaried,Islamabad,3,587779,Thin File,16623473.196963642,5737004.83,1311073.29
35257,56,Married,Pensioner,Lahore,5,686528,Thick File,20797969.813670296,2413728.04,1791079.19
10933,57,Married,Salaried,Karachi,6,1144162,Thin File,7362455.749072756,11110393.12,3271794.16
45661,37,Married,Salaried,Karachi,3,319342,Thin File,3017253.1131310733,2657365.97,1021871.56
19179,65,Married,Pensioner,Karachi,5,93906,No Credit History,0.0,349591.44,303291.98
41461,35,Single,Self-Employed,Islamabad,1,514159,Thick File,22642832.21287314,1941882.24,911494.36
49777,54,Married,Salaried,Rawalpindi,3,485138,No Credit History,0.0,4414925.28,1097404.79
65842,44,Married,Salaried,Islamabad,1,216111,No Credit History,0.0,2242456.035957801,680667.3795072403
53001,41,Married,Self-Employed,Lahore,3,401722,Thin File,5084366.080415134,1343729.26936154,1244719.2789073158
52837,33,Single,Salaried,Karachi,5,1388874,Thick File,32536056.13478613,12061073.847026993,3574106.3973219786
45073,26,Single,Salaried,Lahore,3,51286,No Credit History,0.0,493062.57,158310.0
74892,55,Married,Self-Employed,Karachi,5,645404,Thick File,29360014.111949064,1762389.150483676,1794847.4938740628
76785,57,Single,Salaried,Lahore,2,1064813,Thin File,49884601.628999226,10138834.776408715,4122385.8834719295
73223,25,Single,Salaried,Karachi,1,1789331,Thin File,93258626.42999652,15937630.124526264,4931664.667890591
23143,59,Single,Salaried,Karachi,1,592709,Thin File,16128827.331085486,5181780.81,1833558.63
8904,54,Single,Salaried,Karachi,3,305719,Thin File,3262026.7348736883,2735380.67,1072522.7
39342,31,Single,Salaried,Rawalpindi,1,742553,Thin File,23099620.71346446,6685398.07,1968107.27
37424,48,Married,Self-Employed,Rawalpindi,5,580542,Thick File,24002989.37321256,1129565.37,1932648.62
38094,25,Single,Salaried,Islamabad,1,175850,No Credit History,0.0,1623751.2799999998,435327.46
59579,35,Single,Self-Employed,Karachi,1,304760,Thin File,3264297.3701381665,787227.871247037,949582.365932648
71981,58,Married,Salaried,Karachi,3,2554293,Thick File,115247752.12951288,21792044.51710467,5977396.312951606
68473,54,Single,Self-Employed,Karachi,3,584987,Thick File,19961457.93059116,1403498.7582565409,1771310.6424171175
1729,63,Single,Salaried,Islamabad,5,187069,No Credit History,0.0,1858522.66,450265.51
80094,54,Married,Salaried,Islamabad,5,519995,Thick File,24148356.305952583,4400788.02827324,1720360.3669942084
28075,54,Single,Salaried,Rawalpindi,3,734921,Thick File,29428236.14963912,5773858.43,2861720.6500000004
36376,48,Married,Salaried,Karachi,3,261761,Thin File,2754900.2699909504,2350331.08,732282.73
4465,26,Single,Salaried,Karachi,3,201296,Thin File,2122795.9591423804,1665894.5,659615.79
20197,48,Single,Salaried,Karachi,3,644298,Thin File,19958207.62932701,5613776.4,1919141.41
49452,41,Married,Self-Employed,Rawalpindi,3,769945,Thick File,11802328.852870911,1763813.42,2409633.16
81002,36,Married,Salaried,Lahore,4,2004867,Thick File,112365879.8518434,19328036.20607697,5337413.786251389
10979,22,Single,Salaried,Islamabad,1,51783,No Credit History,0.0,533123.4400000001,167457.47
72137,42,Married,Salaried,Karachi,1,520815,Thin File,28993636.25170539,4678649.951097264,1348090.8609201298
42818,25,Single,Salaried,Karachi,1,1512381,Thin File,38292133.38418494,14624318.95,2383779.03
13350,64,Married,Salaried,Karachi,3,189490,No Credit History,0.0,1867181.15,612210.5
57641,57,Married,Self-Employed,Karachi,1,248484,Thin File,2211311.112470369,605039.9279554917,802527.9883535969
80778,39,Single,Salaried,Islamabad,1,2691024,Thick File,142704857.45773247,26616616.425292704,6527798.864648638
30100,50,Married,Salaried,Lahore,3,117597,No Credit History,0.0,973982.78,329845.17
29174,34,Single,Salaried,Karachi,4,631318,Thick File,23055147.104259763,5672378.73,1889344.27
65729,62,Married,Salaried,Karachi,3,154079,No Credit History,0.0,1357843.1574384144,566957.9668724521
11875,36,Married,Salaried,Lahore,3,211118,Thin File,1096647.6592753828,1762623.15,803290.77
2839,27,Single,Salaried,Karachi,1,106358,No Credit History,0.0,850619.3099999999,383849.9
44439,51,Married,Self-Employed,Faisalabad,1,422247,No Credit History,0.0,1313950.15,821314.05
58848,52,Married,Salaried,Karachi,3,721799,Thin File,16771435.506189492,6442330.119435105,1925310.591849801
26100,65,Married,Pensioner,Lahore,5,90755,No Credit History,0.0,225665.93,281477.24
37558,24,Single,Self-Employed,Rawalpindi,1,198283,No Credit History,0.0,596308.29,571211.51
41600,33,Single,Salaried,Karachi,1,209626,No Credit History,0.0,2012605.23,455606.66
62961,61,Single,Salaried,Lahore,1,157799,No Credit History,0.0,1532261.0696319386,407879.80208180856
64556,51,Single,Salaried,Faisalabad,2,192543,No Credit History,0.0,1735703.4743024858,535810.0201963078
6617,53,Single,Self-Employed,Karachi,1,759510,Thick File,28721424.255631976,1700639.92,2943982.97
65348,22,Single,Salaried,Karachi,1,108189,No Credit History,0.0,879030.7594855962,370002.6431849095
1402,64,Married,Salaried,Lahore,2,90390,No Credit History,0.0,851201.57,219335.18
28968,64,Single,Self-Employed,Lahore,1,113914,No Credit History,0.0,318993.96,357597.26
48183,27,Single,Salaried,Islamabad,1,1830961,Thick File,92683430.88867833,17530784.66,5536357.91
12559,22,Single,Salaried,Rawalpindi,3,197351,No Credit History,0.0,1788600.65,712900.21
73829,57,Married,Salaried,Karachi,4,617837,Thick File,27210825.177824285,5157942.589662683,2198732.16757408
60415,50,Single,Self-Employed,Lahore,4,683357,Thick File,19610083.00046316,1781216.0338112942,2582061.7340828134
54924,47,Single,Self-Employed,Karachi,1,767767,Thin File,13900098.3922303,2766641.5026683896,2261875.3666135906
74783,38,Single,Salaried,Lahore,1,680862,Thin File,34341975.06784826,6140199.230723575,1568715.0246289272
1631,49,Married,Salaried,Karachi,5,626806,Thick File,19513001.08759225,5741937.880000001,2151687.66
76041,47,Single,Self-Employed,Karachi,1,561265,Thin File,33194121.837257784,1592973.260026509,1771055.9561081666
49058,26,Single,Self-Employed,Lahore,1,257076,Thin File,2380682.066231319,1050854.25,634882.77
5061,33,Married,Salaried,Faisalabad,3,665544,Thin File,39383950.50265607,5892439.55,1685472.94
13882,22,Single,Salaried,Karachi,1,159507,No Credit History,0.0,1635405.66,660715.96
57580,50,Married,Salaried,Lahore,5,661779,Thick File,12298068.961309675,6163357.756994702,2394355.611046501
33478,49,Single,Salaried,Karachi,1,1142904,Thick File,30032807.22511968,9225934.35,2262260.46
43875,64,Married,Salaried,Lahore,5,142966,No Credit History,0.0,1465737.35,338511.6
36440,55,Married,Salaried,Rawalpindi,5,425383,No Credit History,0.0,3883794.23,1082958.89
13396,62,Married,Salaried,Lahore,3,68243,No Credit History,0.0,641444.04,194003.8
15630,48,Married,Salaried,Karachi,3,137880,No Credit History,0.0,1298985.44,492162.53
68195,57,Single,Self-Employed,Islamabad,1,652435,Thick File,27360668.92620744,1684060.9593751142,1906744.4893487133
22757,56,Married,Salaried,Karachi,5,1121404,Thick File,22513112.859717384,10431892.63,2683621.06
83219,42,Married,Self-Employed,Islamabad,4,638774,Thick File,32640017.758979656,1496600.8177898356,1867040.6130433893
49056,46,Single,Salaried,Karachi,2,2045201,Thin File,46378702.18746992,18086802.08,6305331.49
12517,34,Single,Salaried,Karachi,2,726112,Thick File,10453211.162284734,6776301.91,2890578.99
19073,59,Married,Salaried,Faisalabad,5,122319,No Credit History,0.0,999882.07,293353.62
74509,49,Married,Salaried,Karachi,3,2067060,Thick File,94295743.70185332,17994136.155516807,6524018.312701457
24927,62,Married,Salaried,Karachi,3,150105,No Credit History,0.0,1497595.14,320481.13
45034,65,Married,Pensioner,Lahore,5,102503,No Credit History,0.0,271215.41000000003,292357.24
21550,28,Single,Salaried,Islamabad,1,268153,Thin File,2152994.1614556005,2322923.94,686173.45
75011,51,Single,Self-Employed,Faisalabad,2,650602,Thick File,27836193.34141957,1902351.853031552,2067298.996333765
82130,47,Married,Salaried,Lahore,4,789380,Thick File,36758398.36659996,7238822.3936159,2308398.671341616
19079,30,Single,Salaried,Lahore,1,580209,Thick File,7949176.774573549,5469870.97,1870828.65
79266,39,Married,Salaried,Lahore,5,758656,Thin File,38542339.40154936,6601393.275236736,1708250.3781071366
49423,59,Married,Pensioner,Lahore,5,546950,Thick File,15833628.69890649,1208379.91,1503691.04
29739,27,Single,Salaried,Islamabad,1,186683,No Credit History,0.0,1547377.74,592700.98
56700,45,Single,Salaried,Karachi,4,2325982,Thick File,58186476.16870326,21609095.761581976,5510680.820262664
22009,40,Married,Self-Employed,Lahore,4,761450,Thick File,7741928.528084289,2034568.21,2437880.46
63928,63,Married,Salaried,Lahore,3,112160,No Credit History,0.0,995979.4659180512,352035.954527862
2153,31,Married,Self-Employed,Faisalabad,3,433299,Thin File,5223610.783502701,1222108.63,1350581.46
53052,25,Single,Salaried,Karachi,1,1453461,Thick File,47303276.50084515,12844565.878805766,4554365.545435219
15456,25,Single,Salaried,Rawalpindi,1,143531,No Credit History,0.0,1201224.49,550306.22
34500,26,Single,Salaried,Islamabad,1,1716851,Thick File,33944635.58043799,15999290.37,5702801.220000001
48088,59,Married,Self-Employed,Lahore,2,573390,Thick File,10504195.824193826,1521915.06,1884293.33
38299,47,Married,Self-Employed,Karachi,5,153539,No Credit History,0.0,636936.71,460239.16
63322,50,Single,Salaried,Rawalpindi,2,375003,No Credit History,0.0,3557285.0510929083,1238888.0268777488
72707,52,Single,Salaried,Lahore,2,2439342,Thick File,140090102.68191582,23098825.287560984,5824242.813003329
51325,54,Married,Salaried,Lahore,3,517107,Thick File,18699135.96389016,4735598.605737726,1503078.8820827317
9140,65,Married,Salaried,Lahore,3,109332,No Credit History,0.0,893992.87,381574.56
79489,37,Single,Salaried,Karachi,1,728398,Thick File,39758823.6964211,5826258.027638895,1972804.352063967
65832,27,Single,Salaried,Karachi,1,161272,No Credit History,0.0,1397363.663193309,322472.241611834
32939,48,Married,Salaried,Islamabad,6,2505303,Thick File,127627969.41822,21020553.16,6005882.24
70885,49,Married,Self-Employed,Lahore,2,779748,Thin File,41930416.12611831,2723082.89284498,2114052.5494544897
28791,25,Single,Salaried,Karachi,1,2599154,Thin File,54281829.83695872,22608254.37,8126746.25
39467,60,Married,Salaried,Islamabad,3,1224194,Thin File,33957525.60136613,10091331.32,2889291.75
62411,29,Married,Salaried,Karachi,4,124026,No Credit History,0.0,1156865.6544361212,304784.23438695894
34281,35,Single,Salaried,Karachi,1,1882814,Thin File,85474448.492774,17887565.5,7422273.63
70096,33,Married,Self-Employed,Lahore,1,625653,Thick File,25710166.7568667,1924220.6075780028,1334963.1967933993
13712,62,Married,Self-Employed,Lahore,5,193416,No Credit History,0.0,552027.05,636633.3500000001
17909,41,Married,Salaried,Karachi,5,176752,No Credit History,0.0,1386749.88,466304.84
16794,65,Married,Salaried,Karachi,6,99322,No Credit History,0.0,947259.12,294810.94
23276,47,Single,Salaried,Lahore,5,441673,No Credit History,0.0,3893927.67,1315808.42
60604,31,Single,Salaried,Lahore,1,628883,Thick File,21959182.381895047,5886386.060122103,1921325.185436144
32770,22,Single,Self-Employed,Islamabad,3,199621,No Credit History,0.0,424104.42,605817.85
17225,35,Single,Salaried,Karachi,1,555453,Thin File,12762623.315439835,4583251.2,1547622.57
8401,47,Single,Salaried,Karachi,1,2208047,Thick File,53591598.03474022,18606743.8,5666216.720000001
1453,44,Married,Salaried,Karachi,4,768755,Thin File,33391514.834704988,6264939.16,1557227.31
52744,37,Married,Salaried,Faisalabad,1,740502,Thin File,30172176.28969404,6423364.240158651,2108372.27154437
73946,50,Married,Salaried,Lahore,2,751660,Thick File,40193884.90530319,6858945.634952432,1842343.5259837967
4778,62,Married,Salaried,Lahore,5,199001,No Credit History,0.0,1797072.43,639263.28
63280,53,Single,Salaried,Karachi,5,90712,No Credit History,0.0,900606.2379156692,272246.74196529185
4432,37,Single,Salaried,Karachi,3,435949,No Credit History,0.0,3980835.0,1229100.92
1040,49,Married,Self-Employed,Lahore,1,716412,Thin File,25048851.063168705,2117428.12,2038025.78
20025,65,Married,Pensioner,Karachi,5,73449,No Credit History,0.0,161417.28999999998,197828.49
41217,49,Married,Self-Employed,Lahore,4,574743,Thick File,8666274.149062624,1558146.09,1683479.74
21324,38,Single,Salaried,Rawalpindi,3,145428,No Credit History,0.0,1202738.71,396735.8
63385,25,Single,Salaried,Faisalabad,1,129329,No Credit History,0.0,1200882.7974578417,355619.4601169443
48039,38,Single,Self-Employed,Karachi,1,353090,No Credit History,0.0,763836.05,941556.9
18664,65,Married,Pensioner,Lahore,5,94522,No Credit History,0.0,259382.9,343660.39
57581,55,Single,Salaried,Karachi,4,2381232,Thick File,58646298.9178903,21520655.53013839,5224492.603805246
3159,26,Married,Salaried,Rawalpindi,3,191407,No Credit History,0.0,1733656.3,530960.29
21073,57,Married,Salaried,Faisalabad,3,368422,Thin File,5158525.998743319,3301916.91,1426141.23
22196,63,Single,Salaried,Faisalabad,3,123677,No Credit History,0.0,1066250.1,353872.81999999995
43848,45,Married,Salaried,Karachi,1,1180116,Thick File,29525989.66696766,11014975.74,3475532.37
56592,53,Married,Pensioner,Karachi,3,576249,Thin File,19599731.83964057,1887227.680607365,1753949.7273778922
5567,60,Married,Self-Employed,Karachi,1,739724,Thin File,31311067.996404927,2149795.08,2069695.02
75018,45,Single,Self-Employed,Karachi,3,789911,Thick File,28005810.40203916,2022055.17352046,2453382.09443359
42238,59,Single,Salaried,Karachi,1,298110,Thin File,1040918.3952072324,2748216.94,635616.06
42544,33,Single,Self-Employed,Faisalabad,1,587708,Thick File,23894108.450155675,2501875.69,1856448.43
9066,65,Married,Pensioner,Karachi,3,97922,No Credit History,0.0,254713.98,257473.59
47084,37,Single,Salaried,Lahore,3,716339,Thick File,41128638.21996988,6570928.68,2294562.73
21076,28,Single,Salaried,Karachi,1,190548,No Credit History,0.0,1696481.01,569430.9299999999
60273,58,Married,Salaried,Lahore,4,534684,Thick File,18830530.36412199,5280266.801119709,1449061.9805628303
62410,61,Single,Salaried,Karachi,3,180583,No Credit History,0.0,1569321.1949797715,550342.8222705357
27855,40,Single,Salaried,Rawalpindi,6,378185,No Credit History,0.0,3287352.16,743336.28
73112,34,Single,Salaried,Islamabad,2,657756,Thin File,32121111.56962192,6120500.846693615,1840681.2110697103
75940,37,Married,Self-Employed,Lahore,4,606794,Thin File,22189632.350517355,1517278.92520038,1764253.852388747
32032,57,Married,Salaried,Islamabad,4,324541,No Credit History,0.0,2887992.26,655340.97
58586,54,Married,Salaried,Faisalabad,4,765771,Thick File,13987922.108784258,6773938.6103021465,2784902.010353781
15027,42,Married,Salaried,Islamabad,3,777367,Thin File,33077312.892735813,6903150.18,2716976.08
65763,48,Single,Salaried,Islamabad,2,125078,No Credit History,0.0,1028515.7121251548,294205.583599411
56242,40,Single,Self-Employed,Karachi,1,594304,Thin File,19612271.586526703,1849326.9981381083,1231718.2625757754
57028,59,Married,Pensioner,Karachi,3,674219,Thick File,21416257.656252995,2527609.523872675,2426663.010684249
29698,63,Married,Salaried,Rawalpindi,3,76156,No Credit History,0.0,749811.16,203926.08
41045,37,Married,Salaried,Lahore,3,2491757,Thick File,77412548.37741466,24258079.58,9804019.99
26058,30,Single,Self-Employed,Karachi,1,725689,Thick File,29093647.450721268,1589737.35,1925037.4
25967,65,Married,Pensioner,Rawalpindi,5,78357,No Credit History,0.0,244012.66,304380.7
5828,40,Married,Self-Employed,Faisalabad,2,603256,Thin File,11205476.523539849,2340164.26,1664376.53
72520,51,Single,Salaried,Karachi,1,2024392,Thick File,118023268.58014156,19095167.917420764,4877363.457421036
78185,37,Single,Salaried,Islamabad,1,736033,Thin File,40033723.99661099,6353837.54926488,2110728.5140126008
61825,23,Single,Salaried,Karachi,1,109999,No Credit History,0.0,902228.25012152,338012.781371771
62670,33,Single,Salaried,Karachi,1,90826,No Credit History,0.0,817755.3659191433,337558.2961544393
11640,62,Married,Self-Employed,Lahore,3,81558,No Credit History,0.0,143988.01,249892.53
12974,26,Single,Salaried,Karachi,1,193977,No Credit History,0.0,1760805.91,471695.4
21421,28,Single,Salaried,Karachi,1,97883,No Credit History,0.0,910759.3,216022.71
57439,27,Married,Self-Employed,Karachi,3,269467,Thin File,4510453.696026658,617535.2051827817,774106.193439042
81863,39,Single,Salaried,Karachi,2,2728852,Thick File,129136028.67584358,21945901.50592165,10397228.35413039
22245,34,Single,Salaried,Rawalpindi,1,737385,Thick File,29485440.63560021,6100473.97,1778306.71
19956,25,Single,Self-Employed,Islamabad,1,217230,Thin File,1023301.491652791,528692.59,584545.61
1208,62,Married,Pensioner,Islamabad,6,130818,No Credit History,0.0,424761.32,291983.6
35724,22,Single,Salaried,Karachi,1,75368,No Credit History,0.0,674842.76,213085.54
67878,50,Single,Salaried,Islamabad,3,577391,Thick File,31060704.574205685,4918372.834979736,1656212.8432744564
68932,58,Married,Self-Employed,Karachi,2,685476,Thick File,29374023.91336011,2123046.822834154,1443107.9031146031
13551,26,Single,Salaried,Rawalpindi,1,268426,Thin File,2572151.898899412,2381008.26,1018643.92
37917,60,Married,Salaried,Karachi,3,2537371,Thin File,83757469.5624217,20864445.76,7429362.12
75835,46,Married,Salaried,Lahore,1,2566844,Thick File,135273802.08691707,23461834.809780955,7110284.812497829
54229,41,Single,Salaried,Karachi,1,795246,Thick File,27889027.1346502,7825239.80917442,2029970.2785113752
47966,24,Married,Self-Employed,Lahore,5,90588,No Credit History,0.0,231504.21,279075.6
72386,35,Married,Salaried,Karachi,2,1443003,Thin File,68697718.90462108,13001201.947448837,3643670.2716582846
61453,49,Married,Salaried,Lahore,3,246849,No Credit History,0.0,2256381.1476441254,549043.2499706204
37488,59,Married,Self-Employed,Karachi,4,479374,No Credit History,0.0,968630.45,1692085.87
64358,54,Married,Salaried,Karachi,3,337020,No Credit History,0.0,2907792.892015789,863370.6168761601
38096,65,Married,Pensioner,Karachi,3,176547,No Credit History,0.0,463936.02,322804.48
37194,59,Single,Self-Employed,Lahore,1,544481,Thin File,21855328.98950392,1585772.44,1581083.7
8854,26,Single,Salaried,Islamabad,1,2580343,Thick File,87100119.01151977,21868616.66,8728411.33
54040,26,Single,Salaried,Karachi,1,1183889,Thick File,40509364.66015972,10251105.406802371,3629710.743767439
56969,37,Married,Salaried,Lahore,3,2717777,Thick File,116773865.14885598,23562953.83447881,7324512.543284247
55401,50,Single,Salaried,Islamabad,3,643830,Thin File,23171037.15506445,5684276.611494746,1874793.9521442608
40042,41,Single,Salaried,Lahore,6,2909624,Thick File,76645723.34385966,26836641.49,9607223.64
24811,24,Single,Salaried,Karachi,1,106350,No Credit History,0.0,1027379.37,300439.97000000003
19649,53,Married,Salaried,Lahore,5,1566710,Thick File,28260751.54637981,16845572.18,3747354.84
12778,55,Single,Salaried,Karachi,3,753420,Thin File,6458141.926539714,5780341.8,2136566.06
1677,57,Single,Salaried,Faisalabad,1,155147,No Credit History,0.0,1318722.86,567462.54
